INFO : 2015-04-20 11:30:17,259  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:30:18,687 adding to list  ../../../Monitoring\LT Monitoring\0415_0907_RA_LT_Monitoring_by Hours.xlsm
INFO : 2015-04-20 11:30:18,687 adding to list  ../../../Monitoring\LT Monitoring\0415_0925_RA_LT_Prepaid_Monitoring.xlsm
INFO : 2015-04-20 11:30:18,688 adding to list  ../../../Monitoring\LT Monitoring\0415_1006_RA_LT_Postpaid_Monitoring.xlsm
INFO : 2015-04-20 11:30:18,688 adding to list  ../../../Monitoring\LT Monitoring\RA_LT_Rated_Amounts.xlsm
INFO : 2015-04-20 11:30:18,690 adding to list  ../../../Monitoring\LT Monitoring\~$0415_0925_RA_LT_Prepaid_Monitoring.xlsm
INFO : 2015-04-20 11:30:18,694 adding to list  ../../../Monitoring\LV Monitoring\0415_0927_RA_LV_MOB_PrepaidMonitoring_2015_04.xlsm
INFO : 2015-04-20 11:30:18,696 adding to list  ../../../Monitoring\LV Monitoring\0415_1157_RA_LV_MOB_PostpaidMonitoring_2015_04.xlsm
INFO : 2015-04-20 11:30:18,711 adding to list  ../../../KPI Reports\Draft\Fixed\AU\0408_0755_RA_AU_FIX_2015_04.xlsm
INFO : 2015-04-20 11:30:18,723 adding to list  ../../../KPI Reports\Draft\Mobile\HR\2015_04\RA_HR_MOB_Postpaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,723 adding to list  ../../../KPI Reports\Draft\Mobile\HR\2015_04\RA_HR_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,734 adding to list  ../../../KPI Reports\Draft\Mobile\NO\March 2015\RA_NO_MOB_Postpaid_2015_03.xlsm
INFO : 2015-04-20 11:30:18,740 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:30:18,740 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,742 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:30:18,743 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:30:18,743 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:30:18,743 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,744 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:30:18,759 adding to list  ../../../KPI Reports\Draft\Mobile\EE\April 2015\RA_EE_MOB_Postpaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,759 adding to list  ../../../KPI Reports\Draft\Mobile\EE\April 2015\RA_EE_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,760 adding to list  ../../../KPI Reports\Draft\Mobile\EE\April 2015\RA_EE_Monitoring (by Hours).xlsx
INFO : 2015-04-20 11:30:18,770 adding to list  ../../../KPI Reports\Draft\Mobile\KZH\April2015\RA_KZ_MOB_Monitoring_2015_04.xlsm
INFO : 2015-04-20 11:30:18,809 adding to list  ../../../Monitoring\Sweden\0420_0937_RA_SE_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,809 adding to list  ../../../Monitoring\Sweden\0420_1026_RA_SE_MOB_PostpaidCABS_2015_04.xlsm
INFO : 2015-04-20 11:30:18,811 adding to list  ../../../Monitoring\Sweden\0420_1342_RA_SE_MOB_PostpaidSV_2015_04.xlsm
INFO : 2015-04-20 11:30:18,811 adding to list  ../../../Monitoring\Sweden\~$0420_0937_RA_SE_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:30:18,812 adding to list  ../../../Monitoring\Sweden\~$0420_1026_RA_SE_MOB_PostpaidCABS_2015_04.xlsm
